Abomasnow, #460, Generation IV, 2.2 m, 135.5 kg, Frost Tree Pokemon, White, Grass, Ice, N/A, 
Excadrill, #530, Generation V, 0.7 m, 40.4 kg, Subterrene Pokemon, Gray, Ground, Steel, N/A, 
Exeggcute, #102, Generation I, 0.4 m, 2.5 kg, Egg Pokemon, Pink, Grass, Psychic, N/A, 
Exeggutor, #103, Generation I, 2.0 m, 120.0 kg, Coconut Pokemon, Yellow, Grass, Psychic, N/A, 
Exploud, #295, Generation III, 1.5 m, 84.0 kg, Loud Noise Pokemon, Blue, Normal, N/A, N/A, 
Falinks, #870, Generation VIII, 3.0 m, 62.0 kg, Formation Pokemon, Yellow, Fighting, N/A, N/A, 
Farfetch'd, #083, Generation I, 0.8 m, 15.0 kg, Wild Duck Pokemon, Brown, Normal, Flying, N/A, 
Fearow, #022, Generation I, 1.2 m, 38.0 kg, Beak Pokemon, Brown, Normal, Flying, N/A, 
Feebas, #349, Generation III, 0.6 m, 7.4 kg, Fish Pokemon, Brown, Water, N/A, N/A, 
Fennekin, #653, Generation VI, 0.4 m, 9.4 kg, Fox Pokemon, Red, Fire, N/A, N/A, 
Feraligatr, #160, Generation II, 2.3 m, 88.8 kg, Big Jaw Pokemon, Blue, Water, N/A, N/A, 
Ferroseed, #597, Generation V, 0.6 m, 18.8 kg, Thorn Seed Pokemon, Gray, Grass, Steel, N/A, 
Ferrothorn, #598, Generation V, 1.0 m, 110.0 kg, Thorn Pod Pokemon, Gray, Grass, Steel, N/A, 
Finneon, #456, Generation IV, 0.4 m, 7.0 kg, Wing Fish Pokemon, Blue, Water, N/A, N/A, 
Flaaffy, #180, Generation II, 0.8 m, 13.3 kg, Wool Pokemon, Pink, Electric, N/A, N/A, 
Flabebe, #669, Generation VI, 0.1 m, 0.1 kg, Single Bloom Pokemon, White, Fairy, N/A, N/A, 
Flapple, #841, Generation VIII, 0.3 m, 1.0 kg, Apple Wing Pokemon, Green, Grass, Dragon, N/A, 
Flareon, #136, Generation I, 0.9 m, 25.0 kg, Flame Pokemon, Red, Fire, N/A, N/A, 
Fletchinder, #662, Generation VI, 0.7 m, 16.0 kg, Ember Pokemon, Red, Fire, Flying, N/A, 
Fletchling, #661, Generation VI, 0.3 m, 1.7 kg, Tiny Robin Pokemon, Red, Normal, Flying, N/A, 
Floatzel, #419, Generation IV, 1.1 m, 33.5 kg, Sea Weasel Pokemon, Brown, Water, N/A, N/A, 
Floette, #670, Generation VI, 0.2 m, 0.9 kg, Single Bloom Pokemon, White, Fairy, N/A, N/A, 
Florges, #671, Generation VI, 1.1 m, 10.0 kg, Garden Pokemon, White, Fairy, N/A, N/A, 
Flygon, #330, Generation III, 2.0 m, 82.0 kg, Mystic Pokemon, Green, Ground, Dragon, N/A, 
Fomantis, #753, Generation VII, 0.3 m, 1.5 kg, Sickle Grass Pokemon, Pink, Grass, N/A, N/A, 
Foongus, #590, Generation V, 0.2 m, 1.0 kg, Mushroom Pokemon, White, Grass, Poison, N/A, 
Forretress, #205, Generation II, 1.2 m, 125.8 kg, Bagworm Pokemon, Purple, Bug, Steel, N/A, 
Fraxure, #611, Generation V, 1.0 m, 36.0 kg, Axe Jaw Pokemon, Green, Dragon, N/A, N/A, 
Frillish, #592, Generation V, 1.2 m, 33.0 kg, Floating Pokemon, White, Water, Ghost, N/A, 
Froakie, #656, Generation VI, 0.3 m, 7.0 kg, Bubble Frog Pokemon, Blue, Water, N/A, N/A, 
Frogadier, #657, Generation VI, 0.6 m, 10.9 kg, Bubble Frog Pokemon, Blue, Water, N/A, N/A, 
Froslass, #478, Generation IV, 1.3 m, 26.6 kg, Snow Land Pokemon, White, Ice, Ghost, N/A, 
Frosmoth, #873, Generation VIII, 1.3 m, 42.0 kg, Frost Moth Pokemon, White, Ice, Bug, N/A, 
Furfrou, #676, Generation VI, 1.2 m, 28.0 kg, Poodle Pokemon, White, Normal, N/A, N/A, 
Furret, #162, Generation II, 1.8 m, 32.5 kg, Long Body Pokemon, Brown, Normal, N/A, N/A, 
Gabite, #444, Generation IV, 1.4 m, 56.0 kg, Cave Pokemon, Blue, Dragon, Ground, N/A, 
Gallade, #475, Generation IV, 1.6 m, 52.0 kg, Blade Pokemon, White, Psychic, Fighting, N/A, 
Galvantula, #596, Generation V, 0.8 m, 14.3 kg, EleSpider Pokemon, Yellow, Bug, Electric, N/A, 
Garbodor, #569, Generation V, 1.9 m, 107.3 kg, Trash Heap Pokemon, Green, Poison, N/A, N/A, 
Garchomp, #445, Generation IV, 1.9 m, 95.0 kg, Mach Pokemon, Blue, Dragon, Ground, pseudo-legendary, 
Gardevoir, #282, Generation III, 1.6 m, 48.4 kg, Embrace Pokemon, White, Psychic, Fairy, N/A, 
Gastly, #092, Generation I, 1.3 m, 0.1 kg, Gas Pokemon, Purple, Ghost, Poison, N/A, 
Gastrodon, #423, Generation IV, 0.9 m, 29.9 kg, Sea Slug Pokemon, Purple, Water, Ground, N/A, 
Genesect, #649, Generation V, 1.5 m, 82.5 kg, Paleozoic Pokemon, Purple, Bug, Steel, Mythical, 
Gengar, #094, Generation I, 1.5 m, 40.5 kg, Shadow Pokemon, Purple, Ghost, Poison, N/A, 
Geodude, #074, Generation I, 0.4 m, 20.0 kg, Rock Pokemon, Brown, Rock, Ground, N/A, 
Gible, #443, Generation IV, 0.7 m, 20.5 kg, Land Shark Pokemon, Blue, Dragon, Ground, N/A, 
Gigalith, #526, Generation V, 1.7 m, 260.0 kg, Compressed Pokemon, Blue, Rock, N/A, N/A, 
Girafarig, #203, Generation II, 1.5 m, 41.5 kg, Long Neck Pokemon, Yellow, Normal, Psychic, N/A, 
Giratina, #487, Generation IV, 4.5 m, 750.0 kg, Renegade Pokemon, Black, Ghost, Dragon, Legendary, 
Glaceon, #471, Generation IV, 0.8 m, 25.9 kg, Fresh Snow Pokemon, Blue, Ice, N/A, N/A, 
Glalie, #362, Generation III, 1.5 m, 256.5 kg, Face Pokemon, Gray, Ice, N/A, N/A, 
Glameow, #431, Generation IV, 0.5 m, 3.9 kg, Catty Pokemon, Gray, Normal, N/A, N/A, 
Glastrier, #896, Generation VIII, 2.2 m, 800.0 kg, Wild Horse Pokemon, White, Ice, N/A, Legendary, 
Gligar, #207, Generation II, 1.1 m, 64.8 kg, Fly Scorpion Pokemon, Purple, Ground, Flying, N/A, 
Gliscor, #472, Generation IV, 2.0 m, 42.5 kg, Fang Scorpion Pokemon, Purple, Ground, Flying, N/A, 
Gloom, #044, Generation I, 0.8 m, 8.6 kg, Weed Pokemon, Blue, Grass, Poison, N/A, 
Gogoat, #673, Generation VI, 1.7 m, 91.0 kg, Mount Pokemon, Brown, Grass, N/A, N/A, 
Golbat, #042, Generation I, 1.6 m, 55.0 kg, Bat Pokemon, Purple, Poison, Flying, N/A, 
Goldeen, #118, Generation I, 0.6 m, 15.0 kg, Goldfish Pokemon, Red, Water, N/A, N/A, 
Golduck, #055, Generation I, 1.7 m, 76.6 kg, Duck Pokemon, Blue, Water, N/A, N/A, 
Golem, #076, Generation I, 1.4 m, 300.0 kg, Megaton Pokemon, Brown, Rock, Ground, N/A, 
Golett, #622, Generation V, 1.0 m, 92.0 kg, Automaton Pokemon, Green, Ground, Ghost, N/A, 
Golisopod, #768, Generation VII, 2.0 m, 108.0 kg, Hard Scale Pokemon, Gray, Bug, Water, N/A, 
Golurk, #623, Generation V, 2.8 m, 330.0 kg, Automaton Pokemon, Green, Ground, Ghost, N/A, 
Goodra, #706, Generation VI, 2.0 m, 150.5 kg, Dragon Pokemon, Purple, Dragon, N/A, pseudo-legendary, 
Goomy, #704, Generation VI, 0.3 m, 2.8 kg, Soft Tissue Pokemon, Purple, Dragon, N/A, N/A, 
Gorebyss, #368, Generation III, 1.8 m, 22.6 kg, South Sea Pokemon, Pink, Water, N/A, N/A, 
Gossifleur, #829, Generation VIII, 0.4 m, 2.2 kg, Flowering Pokemon, Green, Grass, N/A, N/A, 
Gothita, #574, Generation V, 0.4 m, 5.8 kg, Fixation Pokemon, Purple, Psychic, N/A, N/A, 
Gothitelle, #576, Generation V, 1.5 m, 44.0 kg, Astral Body Pokemon, Purple, Psychic, N/A, N/A, 
Gothorita, #575, Generation V, 0.7 m, 18.0 kg, Manipulate Pokemon, Purple, Psychic, N/A, N/A, 
Gourgeist, #711, Generation VI, 0.7 m, 9.5 kg, Pumpkin Pokemon, Brown, Ghost, Grass, N/A, 
Granbull, #210, Generation II, 1.4 m, 48.7 kg, Fairy Pokemon, Purple, Fairy, N/A, N/A, 
Grapploct, #853, Generation VIII, 1.6 m, 39.0 kg, Jujitsu Pokemon, Blue, Fighting, N/A, N/A, 
Graveler, #075, Generation I, 1.0 m, 105.0 kg, Rock Pokemon, Brown, Rock, Ground, N/A, 
Greedent, #820, Generation VIII, 0.6 m, 6.0 kg, Greedy Pokemon, Brown, Normal, N/A, N/A, 
Greninja, #658, Generation VI, 1.5 m, 40.0 kg, Ninja Pokemon, Blue, Water, Dark, N/A, 
Grimer, #088, Generation I, 0.9 m, 30.0 kg, Sludge Pokemon, Purple, Poison, N/A, N/A, 
Grimmsnarl, #861, Generation VIII, 1.5 m, 61.0 kg, Bulk Up Pokemon, Purple, Dark, Fairy, N/A, 
Grookey, #810, Generation VIII, 0.3 m, 5.0 kg, Chimp Pokemon, Green, Grass, N/A, N/A, 
Grotle, #388, Generation IV, 1.1 m, 97.0 kg, Grove Pokemon, Green, Grass, N/A, N/A, 
Groudon, #383, Generation III, 3.5 m, 950.0 kg, Continent Pokemon, Red, Ground, N/A, Legendary, 
Grovyle, #253, Generation III, 0.9 m, 21.6 kg, Wood Gecko Pokemon, Green, Grass, N/A, N/A, 
Growlithe, #058, Generation I, 0.7 m, 19.0 kg, Puppy Pokemon, Brown, Fire, N/A, N/A, 
Grubbin, #736, Generation VII, 0.4 m, 4.4 kg, Larva Pokemon, Gray, Bug, N/A, N/A, 
Grumpig, #326, Generation III, 0.9 m, 71.5 kg, Manipulate Pokemon, Purple, Psychic, N/A, N/A, 
Gulpin, #316, Generation III, 0.4 m, 10.3 kg, Stomach Pokemon, Green, Poison, N/A, N/A, 
Gumshoos, #735, Generation VII, 0.7 m, 14.2 kg, Stakeout Pokemon, Brown, Normal, N/A, N/A, 
Gurdurr, #533, Generation V, 1.2 m, 40.0 kg, Muscular Pokemon, Gray, Fighting, N/A, N/A, 
Guzzlord, #799, Generation VII, 5.5 m, 888.0 kg, Junkivore Pokemon, Black, Dark, Dragon, N/A, 
Gyarados, #130, Generation I, 6.5 m, 235.0 kg, Atrocious Pokemon, Blue, Water, Flying, N/A, 
Hakamo-o, #783, Generation VII, 1.2 m, 47.0 kg, Scaly Pokemon, Gray, Dragon, Fighting, N/A, 
Happiny, #440, Generation IV, 0.6 m, 24.4 kg, Playhouse Pokemon, Pink, Normal, N/A, baby, 
Hariyama, #297, Generation III, 2.3 m, 253.8 kg, Arm Thrust Pokemon, Brown, Fighting, N/A, N/A, 
Hatenna, #856, Generation VIII, 0.4 m, 3.4 kg, Calm Pokemon, Pink, Psychic, N/A, N/A, 
Hatterene, #858, Generation VIII, 2.1 m, 5.1 kg, Silent Pokemon, Pink, Psychic, Fairy, N/A, 
Hattrem, #857, Generation VIII, 0.6 m, 4.8 kg, Serene Pokemon, Pink, Psychic, N/A, N/A, 
Haunter, #093, Generation I, 1.6 m, 0.1 kg, Gas Pokemon, Purple, Ghost, Poison, N/A, 
Hawlucha, #701, Generation VI, 0.8 m, 21.5 kg, Wrestling Pokemon, Green, Fighting, Flying, N/A, 
Haxorus, #612, Generation V, 1.8 m, 105.5 kg, Axe Jaw Pokemon, Yellow, Dragon, N/A, N/A, 
Heatmor, #631, Generation V, 1.4 m, 58.0 kg, Anteater Pokemon, Red, Fire, N/A, N/A, 
Heatran, #485, Generation IV, 1.7 m, 430.0 kg, Lava Dome Pokemon, Brown, Fire, Steel, Legendary, 
Heliolisk, #695, Generation VI, 1.0 m, 21.0 kg, Generator Pokemon, Yellow, Electric, Normal, N/A, 
Helioptile, #694, Generation VI, 0.5 m, 6.0 kg, Generator Pokemon, Yellow, Electric, Normal, N/A, 
Heracross, #214, Generation II, 1.5 m, 54.0 kg, Single Horn Pokemon, Blue, Bug, Fighting, N/A, 
Herdier, #507, Generation V, 0.9 m, 14.7 kg, Loyal Dog Pokemon, Gray, Normal, N/A, N/A, 
Hippopotas, #449, Generation IV, 0.8 m, 49.5 kg, Hippo Pokemon, Brown, Ground, N/A, N/A, 
Hippowdon, #450, Generation IV, 2.0 m, 300.0 kg, Heavyweight Pokemon, Brown, Ground, N/A, N/A, 
Hitmonchan, #107, Generation I, 1.4 m, 50.2 kg, Punching Pokemon, Brown, Fighting, N/A, N/A, 
Hitmonlee, #106, Generation I, 1.5 m, 49.8 kg, Kicking Pokemon, Brown, Fighting, N/A, N/A, 
Hitmontop, #237, Generation II, 1.4 m, 48.0 kg, Handstand Pokemon, Brown, Fighting, N/A, N/A, 
Ho-Oh, #250, Generation II, 3.8 m, 199.0 kg, Rainbow Pokemon, Red, Fire, Flying, Legendary, 
Honchkrow, #430, Generation IV, 0.9 m, 27.3 kg, Big Boss Pokemon, Black, Dark, Flying, N/A, 
Honedge, #679, Generation VI, 0.8 m, 2.0 kg, Sword Pokemon, Brown, Steel, Ghost, N/A, 
Hoopa, #720, Generation VI, 0.5 m, 9.0 kg, Mischief Pokemon, Purple, Psychic, Ghost, Mythical, 
Hoothoot, #163, Generation II, 0.7 m, 21.2 kg, Owl Pokemon, Brown, Normal, Flying, N/A, 
Hoppip, #187, Generation II, 0.4 m, 0.5 kg, Cottonweed Pokemon, Pink, Grass, Flying, N/A, 
Horsea, #116, Generation I, 0.4 m, 8.0 kg, Dragon Pokemon, Blue, Water, N/A, N/A, 
Houndoom, #229, Generation II, 1.4 m, 35.0 kg, Dark Pokemon, Black, Dark, Fire, N/A, 
Houndour, #228, Generation II, 0.6 m, 10.8 kg, Dark Pokemon, Black, Dark, Fire, N/A, 
Huntail, #367, Generation III, 1.7 m, 27.0 kg, Deep Sea Pokemon, Blue, Water, N/A, N/A, 
Hydreigon, #635, Generation V, 1.8 m, 160.0 kg, Brutal Pokemon, Blue, Dark, Dragon, pseudo-legendary, 
Hypno, #097, Generation I, 1.6 m, 75.6 kg, Hypnosis Pokemon, Yellow, Psychic, N/A, N/A, 
Igglybuff, #174, Generation II, 0.3 m, 1.0 kg, Balloon Pokemon, Pink, Normal, Fairy, baby, 
Illumise, #314, Generation III, 0.6 m, 17.7 kg, Firefly Pokemon, Purple, Bug, N/A, N/A, 
Impidimp, #859, Generation VIII, 0.4 m, 5.5 kg, Wily Pokemon, Pink, Dark, Fairy, N/A, 
Incineroar, #727, Generation VII, 1.8 m, 83.0 kg, Heel Pokemon, Red, Fire, Dark, N/A, 
Indeedee, #876, Generation VIII, 0.9 m, 28.0 kg, Emotion Pokemon, Purple, Psychic, Normal, N/A, 
Infernape, #392, Generation IV, 1.2 m, 55.0 kg, Flame Pokemon, Brown, Fire, Fighting, N/A, 
Inkay, #686, Generation VI, 0.4 m, 3.5 kg, Revolving Pokemon, Blue, Dark, Psychic, N/A, 
Inteleon, #818, Generation VIII, 1.9 m, 45.2 kg, Secret Agent Pokemon, Blue, Water, N/A, N/A, 
Ivysaur, #002, Generation I, 1.0 m, 13.0 kg, Seed Pokemon, Green, Grass, Poison, N/A, 
Jangmo-o, #782, Generation VII, 0.6 m, 29.7 kg, Scaly Pokemon, Gray, Dragon, N/A, N/A, 
Jellicent, #593, Generation V, 2.2 m, 135.0 kg, Floating Pokemon, White, Water, Ghost, N/A, 
Jigglypuff, #039, Generation I, 0.5 m, 5.5 kg, Balloon Pokemon, Pink, Normal, Fairy, N/A, 
Jirachi, #385, Generation III, 0.3 m, 1.1 kg, Wish Pokemon, Yellow, Steel, Psychic, Mythical, 
Jolteon, #135, Generation I, 0.8 m, 24.5 kg, Lightning Pokemon, Yellow, Electric, N/A, N/A, 
Joltik, #595, Generation V, 0.1 m, 0.6 kg, Attaching Pokemon, Yellow, Bug, Electric, N/A, 
Jumpluff, #189, Generation II, 0.8 m, 3.0 kg, Cottonweed Pokemon, Blue, Grass, Flying, N/A, 
Jynx, #124, Generation I, 1.4 m, 40.6 kg, Human Shape Pokemon, Red, Ice, Psychic, N/A, 
Kabuto, #140, Generation I, 0.5 m, 11.5 kg, Shellfish Pokemon, Brown, Rock, Water, Fossil, 
Kabutops, #141, Generation I, 1.3 m, 40.5 kg, Shellfish Pokemon, Brown, Rock, Water, Fossil, 
Kadabra, #064, Generation I, 1.3 m, 56.5 kg, Psi Pokemon, Brown, Psychic, N/A, N/A, 
Kakuna, #014, Generation I, 0.6 m, 10.0 kg, Cocoon Pokemon, Yellow, Bug, Poison, N/A, 
Kangaskhan, #115, Generation I, 2.2 m, 80.0 kg, Parent Pokemon, Brown, Normal, N/A, N/A, 
Karrablast, #588, Generation V, 0.5 m, 5.9 kg, Clamping Pokemon, Blue, Bug, N/A, N/A, 
Kartana, #798, Generation VII, 0.3 m, 0.1 kg, Drawn Sword Pokemon, White, Grass, Steel, N/A, 
Kecleon, #352, Generation III, 1.0 m, 22.0 kg, Color Swap Pokemon, Green, Normal, N/A, N/A, 
Keldeo, #647, Generation V, 1.4 m, 48.5 kg, Colt Pokemon, Yellow, Water, Fighting, Mythical, 
Kingdra, #230, Generation II, 1.8 m, 152.0 kg, Dragon Pokemon, Blue, Water, Dragon, N/A, 
Kingler, #099, Generation I, 1.3 m, 60.0 kg, Pincer Pokemon, Red, Water, N/A, N/A, 
Kirlia, #281, Generation III, 0.8 m, 20.2 kg, Emotion Pokemon, White, Psychic, Fairy, N/A, 
Klang, #600, Generation V, 0.6 m, 51.0 kg, Gear Pokemon, Gray, Steel, N/A, N/A, 
Klefki, #707, Generation VI, 0.2 m, 3.0 kg, Key Ring Pokemon, Gray, Steel, Fairy, N/A, 
Klink, #599, Generation V, 0.3 m, 21.0 kg, Gear Pokemon, Gray, Steel, N/A, N/A, 
Klinklang, #601, Generation V, 0.6 m, 81.0 kg, Gear Pokemon, Gray, Steel, N/A, N/A, 
Koffing, #109, Generation I, 0.6 m, 1.0 kg, Poison Gas Pokemon, Purple, Poison, N/A, N/A, 
Komala, #775, Generation VII, 0.4 m, 19.9 kg, Drowsing Pokemon, Blue, Normal, N/A, N/A, 
Kommo-o, #784, Generation VII, 1.6 m, 78.2 kg, Scaly Pokemon, Gray, Dragon, Fighting, pseudo-legendary, 
Krabby, #098, Generation I, 0.4 m, 6.5 kg, River Crab Pokemon, Red, Water, N/A, N/A, 
Kricketot, #401, Generation IV, 0.3 m, 2.2 kg, Cricket Pokemon, Red, Bug, N/A, N/A, 
Kricketune, #402, Generation IV, 1.0 m, 25.5 kg, Cricket Pokemon, Red, Bug, N/A, N/A, 
Krokorok, #552, Generation V, 1.0 m, 33.4 kg, Desert Croc Pokemon, Brown, Ground, Dark, N/A, 
Krookodile, #553, Generation V, 1.5 m, 96.3 kg, Intimidation Pokemon, Red, Ground, Dark, N/A, 
Kubfu, #891, Generation VIII, 0.6 m, 12.0 kg, Wushu Pokemon, Gray, Fighting, N/A, Legendary, 
Kyogre, #382, Generation III, 4.5 m, 352.0 kg, Sea Basin Pokemon, Blue, Water, N/A, Legendary, 
Kyurem, #646, Generation V, 3.0 m, 325.0 kg, Boundary Pokemon, Gray, Dragon, Ice, Legendary, 
Lairon, #305, Generation III, 0.9 m, 120.0 kg, Iron Armor Pokemon, Gray, Steel, Rock, N/A, 
Lampent, #608, Generation V, 0.6 m, 13.0 kg, Lamp Pokemon, Black, Ghost, Fire, N/A, 
Landorus, #645, Generation V, 1.5 m, 68.0 kg, Abundance Pokemon, Brown, Ground, Flying, Legendary, 
Lanturn, #171, Generation II, 1.2 m, 22.5 kg, Light Pokemon, Blue, Water, Electric, N/A, 
Lapras, #131, Generation I, 2.5 m, 220.0 kg, Transport Pokemon, Blue, Water, Ice, N/A, 
Larvesta, #636, Generation V, 1.1 m, 28.8 kg, Torch Pokemon, White, Bug, Fire, N/A, 
Larvitar, #246, Generation II, 0.6 m, 72.0 kg, Rock Skin Pokemon, Green, Rock, Ground, N/A, 
Latias, #380, Generation III, 1.4 m, 40.0 kg, Eon Pokemon, Red, Dragon, Psychic, Legendary, 
Latios, #381, Generation III, 2.0 m, 60.0 kg, Eon Pokemon, Blue, Dragon, Psychic, Legendary, 
Leafeon, #470, Generation IV, 1.0 m, 25.5 kg, Verdant Pokemon, Green, Grass, N/A, N/A, 
Leavanny, #542, Generation V, 1.2 m, 20.5 kg, Nurturing Pokemon, Yellow, Bug, Grass, N/A, 
Ledian, #166, Generation II, 1.4 m, 35.6 kg, Five Star Pokemon, Red, Bug, Flying, N/A, 
Ledyba, #165, Generation II, 1.0 m, 10.8 kg, Five Star Pokemon, Red, Bug, Flying, N/A, 
Lickilicky, #463, Generation IV, 1.7 m, 140.0 kg, Licking Pokemon, Pink, Normal, N/A, N/A, 
Lickitung, #108, Generation I, 1.2 m, 65.5 kg, Licking Pokemon, Pink, Normal, N/A, N/A, 
Liepard, #510, Generation V, 1.1 m, 37.5 kg, Cruel Pokemon, Purple, Dark, N/A, N/A, 
Lileep, #345, Generation III, 1.0 m, 23.8 kg, Sea Lily Pokemon, Purple, Rock, Grass, Fossil, 
Lilligant, #549, Generation V, 1.1 m, 16.3 kg, Flowering Pokemon, Green, Grass, N/A, N/A, 
Lillipup, #506, Generation V, 0.4 m, 4.1 kg, Puppy Pokemon, Brown, Normal, N/A, N/A, 
Linoone, #264, Generation III, 0.5 m, 32.5 kg, Rushing Pokemon, White, Normal, N/A, N/A, 
Litleo, #667, Generation VI, 0.6 m, 13.5 kg, Lion Cub Pokemon, Brown, Fire, Normal, N/A, 
Litten, #725, Generation VII, 0.4 m, 4.3 kg, Fire Cat Pokemon, Red, Fire, N/A, N/A, 
Litwick, #607, Generation V, 0.3 m, 3.1 kg, Candle Pokemon, White, Ghost, Fire, N/A, 
Lombre, #271, Generation III, 1.2 m, 32.5 kg, Jolly Pokemon, Green, Water, Grass, N/A, 
Lopunny, #428, Generation IV, 1.2 m, 33.3 kg, Rabbit Pokemon, Brown, Normal, N/A, N/A, 
Lotad, #270, Generation III, 0.5 m, 2.6 kg, Water Weed Pokemon, Green, Water, Grass, N/A, 
Loudred, #294, Generation III, 1.0 m, 40.5 kg, Big Voice Pokemon, Blue, Normal, N/A, N/A, 
Lucario, #448, Generation IV, 1.2 m, 54.0 kg, Aura Pokemon, Blue, Fighting, Steel, N/A, 
Ludicolo, #272, Generation III, 1.5 m, 55.0 kg, Carefree Pokemon, Green, Water, Grass, N/A, 
Lugia, #249, Generation II, 5.2 m, 216.0 kg, Diving Pokemon, White, Psychic, Flying, Legendary, 
Lumineon, #457, Generation IV, 1.2 m, 24.0 kg, Neon Pokemon, Blue, Water, N/A, N/A, 
Lunala, #792, Generation VII, 4.0 m, 120.0 kg, Moone Pokemon, Purple, Psychic, Ghost, Legendary, 
Lunatone, #337, Generation III, 1.0 m, 168.0 kg, Meteorite Pokemon, Yellow, Rock, Psychic, N/A, 
Lurantis, #754, Generation VII, 0.9 m, 18.5 kg, Bloom Sickle Pokemon, Pink, Grass, N/A, N/A, 
Luvdisc, #370, Generation III, 0.6 m, 8.7 kg, Rendezvous Pokemon, Pink, Water, N/A, N/A, 
Luxio, #404, Generation IV, 0.9 m, 30.5 kg, Spark Pokemon, Blue, Electric, N/A, N/A, 
Luxray, #405, Generation IV, 1.4 m, 42.0 kg, Gleam Eyes Pokemon, Blue, Electric, N/A, N/A, 
Lycanroc, #745, Generation VII, 0.8 m, 25.0 kg, Wolf Pokemon, Brown, Rock, N/A, N/A, 
Machamp, #068, Generation I, 1.6 m, 130.0 kg, Superpower Pokemon, Gray, Fighting, N/A, N/A, 
Machoke, #067, Generation I, 1.5 m, 70.5 kg, Superpower Pokemon, Gray, Fighting, N/A, N/A, 
Machop, #066, Generation I, 0.8 m, 19.5 kg, Superpower Pokemon, Gray, Fighting, N/A, N/A, 
Magby, #240, Generation II, 0.7 m, 21.4 kg, Live Coal Pokemon, Red, Fire, N/A, baby, 
Magcargo, #219, Generation II, 0.8 m, 55.0 kg, Lava Pokemon, Red, Fire, Rock, N/A, 
Magearna, #801, Generation VII, 1.0 m, 80.5 kg, Artificial Pokemon, Gray, Steel, Fairy, Mythical, 
Magikarp, #129, Generation I, 0.9 m, 10.0 kg, Fish Pokemon, Red, Water, N/A, N/A, 
Magmar, #126, Generation I, 1.3 m, 44.5 kg, Spitfire Pokemon, Red, Fire, N/A, N/A, 
Magmortar, #467, Generation IV, 1.6 m, 68.0 kg, Blast Pokemon, Red, Fire, N/A, N/A, 
Magnemite, #081, Generation I, 0.3 m, 6.0 kg, Magnet Pokemon, Gray, Electric, Steel, N/A, 
Magneton, #082, Generation I, 1.0 m, 60.0 kg, Magnet Pokemon, Gray, Electric, Steel, N/A, 
Magnezone, #462, Generation IV, 1.2 m, 180.0 kg, Magnet Area Pokemon, Gray, Electric, Steel, N/A, 
Makuhita, #296, Generation III, 1.0 m, 86.4 kg, Guts Pokemon, Yellow, Fighting, N/A, N/A, 
Malamar, #687, Generation VI, 1.5 m, 47.0 kg, Overturning Pokemon, Blue, Dark, Psychic, N/A, 
Mamoswine, #473, Generation IV, 2.5 m, 291.0 kg, Twin Tusk Pokemon, Brown, Ice, Ground, N/A, 
Manaphy, #490, Generation IV, 0.3 m, 1.4 kg, Seafaring Pokemon, Blue, Water, N/A, Mythical, 
Mandibuzz, #630, Generation V, 1.2 m, 39.5 kg, Bone Vulture Pokemon, Brown, Dark, Flying, N/A, 
Manectric, #310, Generation III, 1.5 m, 40.2 kg, Discharge Pokemon, Yellow, Electric, N/A, N/A, 
Mankey, #056, Generation I, 0.5 m, 28.0 kg, Pig Monkey Pokemon, Brown, Fighting, N/A, N/A, 
Mantine, #226, Generation II, 2.1 m, 220.0 kg, Kite Pokemon, Purple, Water, Flying, N/A, 
Mantyke, #458, Generation IV, 1.0 m, 65.0 kg, Kite Pokemon, Blue, Water, Flying, baby, 
Maractus, #556, Generation V, 1.0 m, 28.0 kg, Cactus Pokemon, Green, Grass, N/A, N/A, 
Mareanie, #747, Generation VII, 0.4 m, 8.0 kg, Brutal Star Pokemon, Blue, Poison, Water, N/A, 
Mareep, #179, Generation II, 0.6 m, 7.8 kg, Wool Pokemon, White, Electric, N/A, N/A, 
Marill, #183, Generation II, 0.4 m, 8.5 kg, Aqua Mouse Pokemon, Blue, Water, Fairy, N/A, 
Marowak, #105, Generation I, 1.0 m, 45.0 kg, Bone Keeper Pokemon, Brown, Ground, N/A, N/A, 
Marshadow, #802, Generation VII, 0.7 m, 22.2 kg, Gloomdweller Pokemon, Gray, Fighting, Ghost, Mythical, 
Marshtomp, #259, Generation III, 0.7 m, 28.0 kg, Mud Fish Pokemon, Blue, Water, Ground, N/A, 
Masquerain, #284, Generation III, 0.8 m, 3.6 kg, Eyeball Pokemon, Blue, Bug, Flying, N/A, 
Mawile, #303, Generation III, 0.6 m, 11.5 kg, Deceiver Pokemon, Black, Steel, Fairy, N/A, 
Medicham, #308, Generation III, 1.3 m, 31.5 kg, Meditate Pokemon, Red, Fighting, Psychic, N/A, 
Meditite, #307, Generation III, 0.6 m, 11.2 kg, Meditate Pokemon, Blue, Fighting, Psychic, N/A, 
Meganium, #154, Generation II, 1.8 m, 100.5 kg, Herb Pokemon, Green, Grass, N/A, N/A, 
Melmetal, #809, Generation VII, 2.5 m, 800.0 kg, Hex Nut Pokemon, Gray, Steel, N/A, Mythical, 
Meloetta, #648, Generation V, 0.6 m, 6.5 kg, Melody Pokemon, White, Normal, Psychic, Mythical, 
Meltan, #808, Generation VII, 0.2 m, 8.0 kg, Hex Nut Pokemon, Gray, Steel, N/A, Mythical, 
